nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dep_3_p,i1_dep_3_e,i1_dep_3_place,i1_rcf_3_p,i1_rcf_3_e,i1_rcf_3_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dep_3_p,i2_dep_3_e,i2_dep_3_place,i2_rcf_3_p,i2_rcf_3_e,i2_rcf_3_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dep_2_p,i3_dep_2_e,i3_dep_2_place,i3_rcf_2_p,i3_rcf_2_e,i3_rcf_2_place,i3_dep_3_p,i3_dep_3_e,i3_dep_3_place,i3_rcf_3_p,i3_rcf_3_e,i3_rcf_3_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dep_3_p,o_dep_3_e,o_dep_3_place,o_rcf_3_p,o_rcf_3_e,o_rcf_3_place,o_dlv_p,o_dlv_e,o_hops,legs
10,12343,748,96,150,758,281,395,152,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,193,1,8553,231,154,150,187,308,620,643,128,?,?,?,?,?,?,?,?,?,?,?,?,4200,282,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13961,1580,1088,240,685,128,905,581,413,?,?,?,?,?,?,?,?,?,?,?,?,3960,223,1,2
11,8473,1415,1157,150,346,377,280,179,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,977,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11830,730,591,180,257,485,145,127,281,?,?,?,?,?,?,?,?,?,?,?,?,2880,20,1,1
12,9931,898,112,240,965,281,415,186,815,?,?,?,?,?,?,?,?,?,?,?,?,6715,11,1,11023,974,310,240,845,281,415,157,815,?,?,?,?,?,?,?,?,?,?,?,?,5160,47,1,9401,227,216,150,102,614,455,187,815,?,?,?,?,?,?,?,?,?,?,?,?,5005,869,1,4744,238,59,135,254,815,280,319,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,140,1,3
13,12666,3140,3004,240,324,445,995,808,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,200,1,7177,1499,733,300,1059,413,970,759,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,1320,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,600,395,40,165,475,128,1275,1058,413,?,?,?,?,?,?,?,?,?,?,?,?,3960,934,1,2
14,14132,142,136,240,182,456,1085,1093,349,?,?,?,?,?,?,?,?,?,?,?,?,550,289,1,12448,2331,1814,180,653,671,890,917,349,?,?,?,?,?,?,?,?,?,?,?,?,550,1528,1,11408,447,538,180,36,468,935,987,349,?,?,?,?,?,?,?,?,?,?,?,?,385,693,1,3390,405,133,180,406,349,840,749,149,?,?,?,?,?,?,?,?,?,?,?,?,6680,164,1,3
15,13119,1081,413,180,859,753,1575,928,511,1014,1531,511,961,1282,815,?,?,?,?,?,?,9720,687,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11725,37994,36949,90,1075,815,1210,983,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,11,1,1
16,13572,778,254,420,894,349,1410,2375,548,?,?,?,?,?,?,?,?,?,?,?,?,320,580,1,5770,1191,792,420,792,349,1411,1353,548,?,?,?,?,?,?,?,?,?,?,?,?,604,2110,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4551,2931,2589,240,532,548,920,720,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,108,1,2
17,1388,27415,26485,90,963,815,1220,1027,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,5,1,13517,3366,1315,90,2099,485,1250,840,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,427,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2421,927,390,90,565,700,2320,1527,411,?,?,?,?,?,?,?,?,?,?,?,?,3420,1681,1,2
18,4697,671,140,240,713,815,280,381,153,?,?,?,?,?,?,?,?,?,?,?,?,5160,2959,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1321,3180,1730,90,1590,153,1240,733,700,5,409,700,935,635,538,?,?,?,?,?,?,3780,1115,2,1
19,13297,5442,4568,120,934,236,420,260,815,495,655,815,810,688,441,?,?,?,?,?,?,5040,3013,2,10625,518,488,170,140,134,465,543,349,1210,1150,349,920,808,441,?,?,?,?,?,?,1175,1037,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2033,1317,1283,360,629,441,700,784,349,?,?,?,?,?,?,?,?,?,?,?,?,550,492,1,2
20,9481,327,167,90,278,579,1010,584,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,358,1,9455,302,53,90,268,579,1010,562,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,260,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11277,606,52,240,763,128,810,542,409,?,?,?,?,?,?,?,?,?,?,?,?,3960,7005,1,2
21,5838,249,116,150,223,391,385,155,815,?,?,?,?,?,?,?,?,?,?,?,?,3160,3518,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10003,82,16,135,138,815,285,157,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,432,1,1
22,10613,2127,234,300,2158,332,705,783,815,?,?,?,?,?,?,?,?,?,?,?,?,5400,1459,1,9378,47,34,150,100,614,455,189,815,?,?,?,?,?,?,?,?,?,?,?,?,5005,873,1,8092,1252,410,150,932,349,350,72,815,?,?,?,?,?,?,?,?,?,?,?,?,2880,236,1,11117,139,34,240,292,815,945,867,403,?,?,?,?,?,?,?,?,?,?,?,?,5160,2060,1,3
23,1363,287,172,150,179,746,870,828,349,905,983,349,4941,834,778,?,?,?,?,?,?,2735,3341,2,9350,813,426,330,659,349,5001,787,778,?,?,?,?,?,?,?,?,?,?,?,?,2854,2207,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9042,4583,4312,780,1057,778,1205,832,349,1360,1623,349,1075,808,757,?,?,?,?,?,?,1075,4090,2,2
24,4038,295,98,240,382,815,270,143,391,?,?,?,?,?,?,?,?,?,?,?,?,5070,2015,1,13373,921,389,300,814,628,910,1544,128,2855,2210,128,960,805,391,?,?,?,?,?,?,3960,1629,2,14188,3954,657,210,2422,233,330,947,281,1460,1868,281,810,949,391,?,?,?,?,?,?,3810,1569,2,5171,989,343,240,830,391,270,134,815,380,515,815,260,156,783,?,?,?,?,?,?,5100,1966,2,3
25,3091,692,72,270,851,349,930,1062,456,?,?,?,?,?,?,?,?,?,?,?,?,435,3613,1,6901,59,87,240,171,128,970,864,456,?,?,?,?,?,?,?,?,?,?,?,?,3960,122,1,1309,3204,820,240,2586,398,815,705,456,?,?,?,?,?,?,?,?,?,?,?,?,9700,213,1,324,1233,380,150,944,456,1030,821,128,925,1167,128,705,631,667,?,?,?,?,?,?,4230,5859,2,3
26,13510,1211,494,90,772,485,1250,897,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,4,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8957,860,525,90,368,700,1935,1424,431,?,?,?,?,?,?,?,?,?,?,?,?,3780,1287,1,1
27,4991,115,51,240,227,476,975,731,815,?,?,?,?,?,?,?,?,?,?,?,?,6465,7,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9817,814,78,135,812,815,300,290,527,?,?,?,?,?,?,?,?,?,?,?,?,5100,24,1,1
28,11674,123,48,420,596,349,1240,1048,413,?,?,?,?,?,?,?,?,?,?,?,?,360,365,1,2270,1064,534,90,563,700,860,495,413,?,?,?,?,?,?,?,?,?,?,?,?,3780,1284,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5820,2741,2591,150,265,413,1000,761,128,640,862,128,95,183,391,?,?,?,?,?,?,4230,2649,2,2
29,7108,342,9,300,583,753,510,322,174,660,784,174,1155,1805,128,845,193,128,1500,939,815,3960,444,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3618,1045,36,240,1195,815,995,884,671,?,?,?,?,?,?,?,?,?,?,?,?,4680,2,1,1
30,394,1024,892,420,559,815,845,726,809,?,?,?,?,?,?,?,?,?,?,?,?,3960,2341,1,13723,56,24,240,241,128,785,516,809,?,?,?,?,?,?,?,?,?,?,?,?,3960,159,1,4861,16266,15981,240,512,128,780,521,809,?,?,?,?,?,?,?,?,?,?,?,?,3960,3513,1,12166,1545,1244,150,411,809,725,606,128,95,192,128,210,242,134,?,?,?,?,?,?,4170,2184,2,3
31,13559,139,10,240,305,476,975,818,815,?,?,?,?,?,?,?,?,?,?,?,?,5040,786,1,144,216,87,240,310,476,985,741,815,?,?,?,?,?,?,?,?,?,?,?,?,6465,7,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4319,114,31,240,260,815,465,342,752,?,?,?,?,?,?,?,?,?,?,?,?,5760,33561,1,2
32,11152,509,283,240,429,398,1305,369,299,?,?,?,?,?,?,?,?,?,?,?,?,9040,588,1,8595,1768,1674,150,209,411,585,634,128,1530,1538,128,570,1248,299,?,?,?,?,?,?,4230,73,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9552,16955,16424,90,556,299,820,605,700,725,958,700,695,229,561,?,?,?,?,?,?,3780,4388,2,2
33,10315,136,93,135,166,815,295,201,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,111,1,5552,1082,950,240,321,476,915,758,128,165,399,128,1260,1276,485,?,?,?,?,?,?,3960,341,2,1781,141,83,150,176,128,110,122,485,?,?,?,?,?,?,?,?,?,?,?,?,4230,151,1,6793,1438,256,90,1209,485,1240,911,700,125,461,700,800,399,635,?,?,?,?,?,?,3780,3070,2,3
34,3104,3858,3529,90,702,671,815,524,700,3695,3647,700,1840,1346,308,?,?,?,?,?,?,3780,1121,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7418,1290,355,300,1310,308,805,672,256,?,?,?,?,?,?,?,?,?,?,?,?,2940,1257,1,1
35,3491,241,190,135,135,815,285,166,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,337,1,10825,1220,405,155,941,134,250,276,485,?,?,?,?,?,?,?,?,?,?,?,?,2880,591,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13507,7282,6225,90,1083,485,1250,850,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,1310,1,2
36,4535,5877,5505,240,584,548,920,157,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,859,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14151,1315,929,240,590,128,845,502,206,?,?,?,?,?,?,?,?,?,?,?,?,3960,636,1,1
37,2172,2713,2080,90,697,700,1100,625,597,?,?,?,?,?,?,?,?,?,?,?,?,3780,3734,1,2267,4843,3975,90,928,700,905,493,597,?,?,?,?,?,?,?,?,?,?,?,?,3780,19652,1,12789,1329,569,420,1150,349,1160,950,597,?,?,?,?,?,?,?,?,?,?,?,?,635,1314,1,5014,1048,163,180,1005,597,1050,981,815,600,668,815,260,192,134,?,?,?,?,?,?,5160,1421,2,3
38,11135,898,29,240,1049,597,950,773,349,1365,1485,349,927,894,556,?,?,?,?,?,?,393,529,2,2916,1213,1161,360,352,441,875,716,349,999,1042,349,928,937,556,?,?,?,?,?,?,1143,1137,2,11419,490,515,300,219,468,1115,946,349,2389,2438,349,928,937,556,?,?,?,?,?,?,1143,1125,2,1206,4654,4545,180,199,556,555,551,134,205,240,134,775,779,339,?,?,?,?,?,?,2820,1125,2,3
39,13641,14854,14484,300,688,555,735,719,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,53,1,13608,3190,2084,300,1377,308,840,659,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,315,1,13585,385,77,300,639,555,805,710,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,44,1,7066,2920,2875,300,303,371,855,727,308,185,316,308,300,93,761,?,?,?,?,?,?,2100,1591,2,3
40,10206,1476,1147,240,525,798,740,596,815,?,?,?,?,?,?,?,?,?,?,?,?,5590,1425,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7655,390,104,180,444,815,225,162,128,675,441,128,390,345,678,?,?,?,?,?,?,3960,6015,2,1
41,11942,112,73,120,99,256,980,1610,815,?,?,?,?,?,?,?,?,?,?,?,?,5440,714,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13298,132,103,135,107,815,295,193,527,?,?,?,?,?,?,?,?,?,?,?,?,5100,68,1,1
42,9153,781,41,150,865,727,125,172,128,1845,1786,128,675,592,555,?,?,?,?,?,?,4200,3985,2,11932,139,197,180,62,256,980,1497,815,1485,979,815,685,670,555,?,?,?,?,?,?,5760,1202,2,1146,1320,1230,300,347,690,750,655,555,?,?,?,?,?,?,?,?,?,?,?,?,1560,1633,1,8022,14735,14618,300,396,555,740,536,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,115,1,3
43,2315,22224,21475,90,1785,476,1120,871,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,354,1,1712,826,90,240,922,456,1015,795,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,1025,1,4532,3355,3064,240,495,548,920,693,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,311,1,12677,2974,1028,90,1968,128,1430,1157,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,159,1,3
44,8251,1863,1181,90,712,308,1255,946,233,?,?,?,?,?,?,?,?,?,?,?,?,3780,797,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7494,1540,1525,150,116,233,90,155,349,915,856,349,282,127,749,?,?,?,?,?,?,1178,1055,2,1
45,9962,990,248,240,925,281,415,204,815,?,?,?,?,?,?,?,?,?,?,?,?,5280,14,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9872,180,111,240,260,815,500,527,313,?,?,?,?,?,?,?,?,?,?,?,?,6000,7497,1,1
46,561,315,3,165,432,128,1275,1031,413,?,?,?,?,?,?,?,?,?,?,?,?,3960,985,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10223,1374,685,90,728,413,855,458,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,1475,1,1
47,828,180,90,150,194,485,140,105,128,?,?,?,?,?,?,?,?,?,?,?,?,4200,588,1,2817,7,32,180,95,166,220,146,128,?,?,?,?,?,?,?,?,?,?,?,?,4140,3803,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6924,364,175,150,300,128,635,612,413,?,?,?,?,?,?,?,?,?,?,?,?,4230,297,1,2
48,4562,3637,3296,90,370,671,795,654,700,460,649,700,1885,1625,308,?,?,?,?,?,?,3780,904,2,12999,2388,2238,90,193,671,815,498,700,1105,1418,700,1850,1312,308,?,?,?,?,?,?,3780,1220,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7406,670,11,300,911,308,930,951,597,?,?,?,?,?,?,?,?,?,?,?,?,2760,3792,1,2
49,13455,3325,2849,300,716,411,1100,827,349,1785,2014,349,2826,2927,614,?,?,?,?,?,?,384,2,2,10674,1064,80,240,1164,815,265,244,614,?,?,?,?,?,?,?,?,?,?,?,?,5460,4262,1,10584,986,95,240,1073,815,265,202,614,?,?,?,?,?,?,?,?,?,?,?,?,5460,1202,1,9408,43,21,150,157,614,455,143,815,?,?,?,?,?,?,?,?,?,?,?,?,3565,3720,1,3
50,8283,555,280,90,302,431,1780,1482,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,71,1,10660,1371,785,90,621,128,1225,1006,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,55,1,6781,2558,810,90,1777,485,1240,1016,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,38,1,6543,1156,459,90,727,700,905,514,597,?,?,?,?,?,?,?,?,?,?,?,?,3780,2293,1,3
51,8168,3144,2917,300,567,431,811,528,256,?,?,?,?,?,?,?,?,?,?,?,?,3885,1369,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3255,14221,13324,90,927,256,1240,960,700,550,829,700,890,607,108,?,?,?,?,?,?,3780,179,2,1
52,3231,1281,537,240,927,456,1015,971,128,485,534,128,510,401,233,?,?,?,?,?,?,3960,111,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7155,379,62,240,497,233,385,147,398,?,?,?,?,?,?,?,?,?,?,?,?,9700,5098,1,1
53,5025,1085,267,180,938,597,1050,1009,815,?,?,?,?,?,?,?,?,?,?,?,?,5040,2203,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10962,146,65,135,165,815,215,151,128,?,?,?,?,?,?,?,?,?,?,?,?,4890,20,1,1
54,7498,1162,99,210,1213,663,265,157,815,1355,1485,815,930,778,476,?,?,?,?,?,?,6990,3164,2,11050,1045,89,240,1168,815,940,780,476,?,?,?,?,?,?,?,?,?,?,?,?,6990,1329,1,3142,2291,2148,90,161,671,820,436,700,160,585,700,1425,952,476,?,?,?,?,?,?,3780,1014,2,424,1548,663,150,986,476,645,625,128,310,326,128,125,115,727,?,?,?,?,?,?,4230,3885,2,3
55,11109,264,126,155,291,134,100,263,281,680,461,281,255,459,524,?,?,?,?,?,?,2880,1000,2,10966,987,74,240,1106,815,380,229,524,?,?,?,?,?,?,?,?,?,?,?,?,5460,53,1,7039,140,65,150,180,128,185,229,524,?,?,?,?,?,?,?,?,?,?,?,?,4230,1000,1,8732,930,870,300,318,524,805,695,555,845,989,555,590,409,695,?,?,?,?,?,?,1140,1598,2,3
56,8679,845,170,180,801,761,345,217,609,290,429,609,695,767,527,?,?,?,?,?,?,1440,363,2,11042,202,203,240,179,815,295,136,527,?,?,?,?,?,?,?,?,?,?,?,?,5100,102,1,4769,1688,54,240,1833,815,295,229,527,?,?,?,?,?,?,?,?,?,?,?,?,5100,85,1,6358,185,113,150,174,527,220,145,571,?,?,?,?,?,?,?,?,?,?,?,?,375,763,1,3
57,11694,291,2,240,486,809,725,507,128,2990,3143,128,1620,1016,770,?,?,?,?,?,?,3960,212,2,10394,161,27,240,318,798,695,745,128,370,211,128,1620,1392,770,?,?,?,?,?,?,3960,226,2,10379,212,115,240,323,798,695,569,128,370,360,128,1620,1672,770,?,?,?,?,?,?,3960,908,2,1062,1028,451,150,672,770,385,160,128,145,386,128,125,108,361,?,?,?,?,?,?,4230,28,2,3
